timestamp,ecg_measurement,qrs_detected
1.547142000000000000e+07,1.876832866600000038e+00,0.000000000000000000e+00
1.547534000000000000e+07,2.067448616000000072e+00,0.000000000000000000e+00
1.547925200000000000e+07,2.365591287600000037e+00,0.000000000000000000e+00
1.548318400000000000e+07,2.732160329800000120e+00,0.000000000000000000e+00
1.548710000000000000e+07,3.113391876200000130e+00,0.000000000000000000e+00
1.549102000000000000e+07,3.396872043600000168e+00,0.000000000000000000e+00
1.549494000000000000e+07,3.475073337500000026e+00,0.000000000000000000e+00
1.549886000000000000e+07,3.279569864199999962e+00,0.000000000000000000e+00
1.550277200000000000e+07,2.893450736900000209e+00,0.000000000000000000e+00
1.550669200000000000e+07,2.355816125800000105e+00,0.000000000000000000e+00
1.551060800000000000e+07,1.852394962300000003e+00,0.000000000000000000e+00
1.551452800000000000e+07,1.461388111099999998e+00,0.000000000000000000e+00
1.551845200000000000e+07,1.221896409900000036e+00,0.000000000000000000e+00
1.552236800000000000e+07,1.148582577700000051e+00,0.000000000000000000e+00
1.552629200000000000e+07,1.163245320299999941e+00,1.000000000000000000e+00
1.553021200000000000e+07,1.246334314300000079e+00,0.000000000000000000e+00
1.553413200000000000e+07,1.348973631800000073e+00,0.000000000000000000e+00
1.553805600000000000e+07,1.456500530200000032e+00,0.000000000000000000e+00
1.554196400000000000e+07,1.559139728499999933e+00,0.000000000000000000e+00
1.554588800000000000e+07,1.612903213500000099e+00,0.000000000000000000e+00
1.554981200000000000e+07,1.656891441299999990e+00,0.000000000000000000e+00
1.555373600000000000e+07,1.671554183900000101e+00,0.000000000000000000e+00
1.555766000000000000e+07,1.700879812199999952e+00,0.000000000000000000e+00
1.556156800000000000e+07,1.730205297399999953e+00,0.000000000000000000e+00
1.556548000000000000e+07,1.730205297399999953e+00,0.000000000000000000e+00
1.556939200000000000e+07,1.739980459200000107e+00,0.000000000000000000e+00
1.557331200000000000e+07,1.749755620900000030e+00,0.000000000000000000e+00
1.557722800000000000e+07,1.759530782599999954e+00,0.000000000000000000e+00
1.558114000000000000e+07,1.779081106100000031e+00,0.000000000000000000e+00
1.558505200000000000e+07,1.793743848799999929e+00,0.000000000000000000e+00
1.558897200000000000e+07,1.793743848799999929e+00,0.000000000000000000e+00
1.559289200000000000e+07,1.793743848799999929e+00,0.000000000000000000e+00
1.559681200000000000e+07,1.803519058200000025e+00,0.000000000000000000e+00
1.560070800000000000e+07,1.823069476999999994e+00,0.000000000000000000e+00
1.560461600000000000e+07,1.847507381400000037e+00,0.000000000000000000e+00
1.560853200000000000e+07,1.852394962300000003e+00,0.000000000000000000e+00
1.561246400000000000e+07,1.857282543099999961e+00,0.000000000000000000e+00
1.561639200000000000e+07,1.862170123999999927e+00,0.000000000000000000e+00
1.562030000000000000e+07,1.881720447500000004e+00,0.000000000000000000e+00
1.562422000000000000e+07,1.896383190099999894e+00,0.000000000000000000e+00
1.562813600000000000e+07,1.896383190099999894e+00,0.000000000000000000e+00
1.563205600000000000e+07,1.901270771000000082e+00,0.000000000000000000e+00
1.563596800000000000e+07,1.920821094499999937e+00,0.000000000000000000e+00
1.563988000000000000e+07,1.930596256200000083e+00,0.000000000000000000e+00
1.564379200000000000e+07,1.945259094200000094e+00,0.000000000000000000e+00
1.564769600000000000e+07,1.959921836799999983e+00,0.000000000000000000e+00
1.565161600000000000e+07,1.964809417699999949e+00,0.000000000000000000e+00
1.565553600000000000e+07,1.979472160300000061e+00,0.000000000000000000e+00
1.565945200000000000e+07,2.003910064599999874e+00,0.000000000000000000e+00
1.566335600000000000e+07,2.033235549900000105e+00,0.000000000000000000e+00
